ASIN (parent),ASIN (child),Título,SKU,Sesiones: total,Sesiones - Total - B2B,Porcentaje de sesiones: total,Porcentaje de sesiones: total - B2B,Visitas: total,Visitas - Total - B2B,Porcentaje de visitas: total,Porcentaje de visitas - Total - B2B,Porcentaje de ofertas destacadas (Buy Box),Porcentaje de ofertas destacadas: B2B,Unidades encargadas,Unidades encargadas - B2B,Porcentaje de unidades por sesión,Porcentaje de sesiones de unidades - B2B,Ventas de productos encargados,Ventas de productos encargados: B2B,Total de artículos de un pedido,Total de artículos de un pedido - B2B
B07THFWD1Z,B07THFWD1Z,Home Gadgets Azucarero Cocina con Tapa Original Acrilico con Cuchara,253253CLMFBA,"1,613",54,0.84%,1.17%,"2,303",78,0.87%,1.24%,99.39%,100.00%,130,14,8.06%,25.93%,"1.909,33 €","201,28 €",119,10
B0DV3WKB7R,B0DLBQXGTT,ROCKING GIFTS Vaciabolsillos Bandeja Rectangular Hojas 30x12 cm,21821167CLMFBA,"3,503",66,1.83%,1.43%,"5,083",89,1.91%,1.42%,99.96%,100.00%,84,2,2.40%,3.03%,"1.540,97 €","35,96 €",84,2
B0CLPKTC4Z,B0BW9RWTRF,"ROCKING GIFTS Cubilete de Cuero con Forro de Fieltro y 5 Dados de póker de 16mm | para Juegos de Casino, Poker, cubiletes | Juego de Entretenimiento Familiar | Regalo para Hombre",41647RGMDFBA,808,21,0.42%,0.46%,"1,180",32,0.44%,0.51%,99.91%,100.00%,50,0,6.19%,0.00%,"997,83 €","0,00 €",50,0
B07TFBGPRT,B07TFBGPRT,Deco Line Salero Acrilico 10 cm,253256CLMFBA,712,32,0.37%,0.70%,961,44,0.36%,0.70%,99.17%,100.00%,52,2,7.30%,6.25%,"778,05 €","29,40 €",49,2
B0CK91KWFP,B0CC43CSWB,ROCKING GIFTS Adorno Pared Lagarto Mosaico Metal 39x19 cm | Decoración Jardín Terraza Exterior | Figura Escultura Gecko Reptil | Arte Manualidades Diseño,30200SGFBA,"1,856",41,0.97%,0.89%,"2,791",53,1.05%,0.85%,99.39%,100.00%,48,0,2.59%,0.00%,"1.102,55 €","0,00 €",48,0
B0FPM1NS69,B07THDFDM8,ROCKING GIFTS Salvamantel Mimbre Redondo 20 cm | Mantel Individual | Resistente al Calor | Antideslizante | Decorativo | Protege tu Mesa,284533CLMFBA,"1,190",56,0.62%,1.22%,"1,626",71,0.61%,1.13%,99.87%,100.00%,67,4,5.63%,7.14%,"662,77 €","38,80 €",42,2
B0GNZRP5NC,B0D47SZX53,"ROCKING GIFTS Bolsa de Papel XL para Embalaje Fácil de Regalos de Comunión Niña, Blanco y Rosa, 33 x 10 x 45cm",2185647CLM,"2,418",39,1.26%,0.85%,"3,193",58,1.20%,0.92%,99.56%,100.00%,77,5,3.18%,12.82%,"703,25 €","45,80 €",41,3
B00KAJ1OZ6,B00KAJ1OZ6,"Colgante De Turmalina Negra Sin Pulir En Bruto Minerales y Cristales Para Curación, Belleza Energética, Meditacion, Medicina Alternativa, Amuletos Espirituales",1304VC0FBA,"1,161",12,0.61%,0.26%,"1,585",19,0.60%,0.30%,99.86%,100.00%,44,1,3.79%,8.33%,"437,76 €","9,75 €",40,1
B0GNZRP5NC,B0D47Q87T4,"ROCKING GIFTS Hucha de Madera Rosa Cuadrada Transparente, Regalo Comunión Niña, 15 cm",2597600CLM,"2,184",29,1.14%,0.63%,"3,130",43,1.18%,0.69%,99.86%,100.00%,39,0,1.79%,0.00%,"603,45 €","0,00 €",35,0
B0DJ5YD8NS,B0F1TD65L1,ROCKING GIFTS Estropajero con Estropajo Blanco Profesional 14 cm Ceramica,2546157CLMFBA,471,4,0.25%,0.09%,716,4,0.27%,0.06%,99.24%,100.00%,34,0,7.22%,0.00%,"441,66 €","0,00 €",34,0
B0FX2ZVG3F,B0FX2ZVG3F,"ROCKING GIFTS Bingo 90 Profesional: Juego de Mesa 21x21x21cm, Tablero Metálico/ABS, con Accesorios, Diversión Familiar, Fiestas",40973MDFBA,760,26,0.40%,0.56%,"1,230",29,0.46%,0.46%,99.70%,100.00%,32,4,4.21%,15.38%,"871,23 €","102,36 €",32,4
B0GNZRP5NC,B0D47SR28Y,"ROCKING GIFTS Bolsa de Papel Grande para Embalaje Fácil de Regalos de Comunión Niño, Blanco y Azul, 26 x 10 x 32cm",2185650CLM,"2,411",39,1.26%,0.85%,"3,272",47,1.23%,0.75%,99.48%,96.30%,57,0,2.36%,0.00%,"505,65 €","0,00 €",30,0
B0F226QZ2Z,B0F226QZ2Z,"ROCKING GIFTS Flor de Peluche, Rosa Regalo Sant Jordi y San Valentín, 30 cm",212571CLM,626,15,0.33%,0.33%,774,15,0.29%,0.24%,99.72%,92.86%,36,6,5.75%,40.00%,"389,06 €","62,76 €",30,5
