sku	asin	price	quantity	Business Price	Quantity Price Type	Quantity Lower Bound 1	Quantity Price 1	Quantity Lower Bound 2	Quantity Price 2	Quantity Lower Bound 3	Quantity Price 3	Quantity Lower Bound 4	Quantity Price 4	Quantity Lower Bound 5	Quantity Price 5	Progressive Price Type	Progressive Lower Bound 1	Progressive Price 1	Progressive Lower Bound 2	Progressive Price 2	Progressive Lower Bound 3	Progressive Price 3	Minimum order quantity	Sell remainder
10006VC	B0B9D92L51	16.80	574	16.46	fixed	6	14.28	12	12.60	18	12.27	50	11.76											
10007VC	B0BDSW1KKC	15.50	1498	15.19	fixed	6	13.18	12	11.63	18	11.32	50	10.85											
10008VC	B0BDSVQCXC	28.00	1251	27.44	fixed	6	23.80	12	21.00	18	20.44	50	19.60											
10009VC	B0BDSVL4VB	28.00	75	27.44	fixed	6	23.80	12	21.00	18	20.44	50	19.60											
10010VC	B0BDSXW3Y6	17.25	386	16.91	fixed	6	14.67	12	12.94	18	12.60	50	12.08											
10011VC	B0BDSWDCQY	19.30	2374	18.91	fixed	6	16.41	12	14.48	18	14.09	50	13.51											
10012VC	B0BDSY14GN	24.30	627	23.81	fixed	6	20.66	12	18.23	18	17.74	50	17.01											
10015VC	B0BDSWFTC8	18.00	148	17.64	fixed	6	15.30	12	13.50	18	13.14	50	12.60											
10016VC	B0BDSXPDZT	18.00	1641	17.64	fixed	6	15.30	12	13.50	18	13.14	50	12.60											
10017VC	B0BDSZBR5S	18.00	2552	17.64	fixed	6	15.30	12	13.50	18	13.14	50	12.60											
10018VC	B0BDSX41CR	18.00	61	17.64	fixed	6	15.30	12	13.50	18	13.14	50	12.60											
10019VC	B0BDSWVL5Q	29.30	387	28.71	fixed	6	24.91	12	21.98	18	21.39	50	20.51											
10020VC	B0BDSWTXVL	15.95	1889	15.63	fixed	6	13.56	12	11.97	18	11.65	50	11.17											
10024VC	B0BDSX582D	17.25	2508	16.91	fixed	6	14.67	12	12.94	18	12.60	50	12.08											
10025VC	B0BDSVX169	51.70	2000	50.67	fixed	6	43.95	12	38.78	18	37.75	50	36.19											
10026VC	B0BDSZP1K9	51.80	24600	50.76	fixed	6	44.03	12	38.85	18	37.82	50	36.26											
10029VC	B0BDSWT9Y9	51.80	160	50.76	fixed	6	44.03	12	38.85	18	37.82	50	36.26											
10039VC	B0BDSXT68N	47.90	38	46.94	fixed	6	40.72	12	35.93	18	34.97	50	33.53											
10040VC	B0BDSVVZP6	29.30	191	28.71	fixed	6	24.91	12	21.98	18	21.39	50	20.51											
10041VC	B0BDSYS2LF	41.80	420	40.96	fixed	6	35.53	12	31.35	18	30.52	50	29.26											
10042VC	B0BDSWBT3L	68.00	68	66.64	fixed	6	57.80	12	51.00	18	49.64	50	47.60											
10043VC	B0BDSYZWXH	95.50	73	93.59	fixed	6	81.18	12	71.63	18	69.72	50	66.85											
10056VC	B0BDSW68JK	118.00	11	115.64	fixed	6	100.30	12	88.50	18	86.14	50	82.60											
10070RGSG	B0BVMT4N56	137.60	50	134.85	fixed	6	116.96	12	103.20	18	100.45	50	96.32											false
10070SGR	B0756PZCKM	137.60	50	134.85	fixed	6	116.96	12	103.20	18	100.45	50	96.32											
10070VC	B0BDST93PR	14.75	48	14.46	fixed	6	12.54	12	11.07	18	10.77	50	10.33											
10071VC	B0BDSXLC24	14.75	1056	14.46	fixed	6	12.54	12	11.07	18	10.77	50	10.33											
10074SG	B06XXSGM3W	123.20	54	120.74	fixed	6	104.72	12	92.40	18	89.94	50	86.24											
10078SG	B06XWPFYQR	122.30	31	119.85	fixed	6	103.96	12	91.73	18	89.28	50	85.61											
10078SGFBA	B06XWPFYQR	110.00		107.8	fixed	6	93.50	12	82.50	18	80.30	50	77.00											
1007VC	B010TMBDSG	15.50	71	15.19	fixed	6	13.18	12	11.63	18	11.32	50	10.85											
10110SG	B07F3BZDX5	21.40	63	20.97	fixed	6	18.19	12	16.05	18	15.63	50	14.98											
1011VCO	B076N7V61Y	12.60	99	12.35	fixed	6	10.71	12	9.45	18	9.20	50	8.82											
10145SG	B06XWNTBQ8	23.80	182	23.32	fixed	6	20.23	12	17.85	18	17.38	50	16.66											
10145VC	B0BRYMQ3DP	85.50	10	83.79	fixed	6	72.68	12	64.13	18	62.42	50	59.85											
10146VC	B0BRYK22ZZ	24.30	388	23.81	fixed	6	20.66	12	18.23	18	17.74	50	17.01											
10150SG	B06XW8BXPV	28.80	147	28.22	fixed	6	24.48	12	21.60	18	21.03	50	20.16											
10151SG	B06XWR19GV	28.80	56	28.22	fixed	6	24.48	12	21.60	18	21.03	50	20.16											
10153SG	B06XW9S2Q8	37.50	169	36.75	fixed	6	31.88	12	28.13	18	27.38	50	26.25											
10162VC	B0BRYJTVQT	13.45	183	13.18	fixed	6	11.44	12	10.09	18	9.82	50	9.42											
10164VC	B0BRYK4G5J	40.50	45	39.69	fixed	6	34.43	12	30.38	18	29.57	50	28.35											
10165VC	B0BRYLL4NN	60.50	86	59.29	fixed	6	51.43	12	45.38	18	44.17	50	42.35											
10165VC0	B0BRYLL4NN	60.50	91	59.29	fixed	6	51.43	12	45.38	18	44.17	50	42.35											
1016VCFBA	B00K59VXNY	10.95		10.73	fixed	6	9.31	12	8.22	18	8.00	50	7.67											
1016VCI	B0DFZV6ZQM	15.50	195	15.19	fixed	6	13.18	12	11.63	18	11.32	50	10.85											
10177VCT	B0CV4DZKL6	14.05	468	13.77	fixed	6	11.95	12	10.54	18	10.26	50	9.84											
10180VCT	B0CV4GJSKX	15.00	361	14.7	fixed	6	12.75	12	11.25	18	10.95	50	10.50											
10182VCT	B0CV4FZ4QC	15.95	6	15.63	fixed	6	13.56	12	11.97	18	11.65	50	11.17											
10183VCT	B0CV4CXK56	14.05	717	13.77	fixed	6	11.95	12	10.54	18	10.26	50	9.84											
10184VCT	B0CV4HT19Z	14.05	118	13.77	fixed	6	11.95	12	10.54	18	10.26	50	9.84											
