sku	price	minimum-seller-allowed-price	maximum-seller-allowed-price	quantity	fulfillment-channel	handling-time
231VC	109,8	54,9	219,6	269596		
2657VC	486,1	243,05	972,2	0		
3581VC	47	23,5	94	47		
3749VC	10,95	5,47	21,9	12		
4087VC	24,95	12,47	49,9	0		
4363VC	10,95	5,47	21,9	11		
4878VC	10,95	5,47	21,9	105		
4903VC	9,95	4,97	19,9	327		
4920VC	10,95	5,47	21,9	692		
5507VC	11,95	5,97	23,9	0		
5687VC	40,8	20,4	81,6	0		
5689VC	13,95	6,97	27,9	0		
5947VC	9,95	4,97	19,9	0		
5948VC	9,95	4,97	19,9	96		
7929VC	25,95	12,97	51,9	0		
8572VC	29,95	14,97	59,9	0		
8573VC	102,9	51,45	205,8	0		
8575VC	210,6	105,3	421,2	0		
8576VC	237,5	118,75	475	0		
8578VC	34,3	17,15	68,6	0		
8598VC	85,5	42,75	171	0		
8599VC	105,7	52,85	211,4	0		
8698VC	56	28	112	0		
8705VC	42,4	21,2	84,8	0		
8706VC	14,95	7,47	29,9	0		
8707VC	18,95	9,47	37,9	0		
8708VC	33,3	16,65	66,6	161		
8710VC	29,95	14,97	59,9	0		
8712VC	69,3	34,65	138,6	0		
8713VC	34,3	17,15	68,6	0		
8714VC	28,95	14,47	57,9	1160605		
8724VC	244,1	122,05	488,2	0		
8747VC	81,4	40,7	162,8	0		
8767VC	20,95	10,47	41,9	0		
8768VC	10,95	5,47	21,9	0		
8878VC	20,95	10,47	41,9	0		
8879VC	20,95	10,47	41,9	0		
8880VC	17,95	8,97	35,9	0		
8881VC	14,95	7,47	29,9	873		
8883VC	23,95	11,97	47,9	0		
8885VC	10,95	5,47	21,9	0		
8886VC	8,95	4,47	17,9	17895		
8887VC	10,95	5,47	21,9	0		
8888VC	13,95	6,97	27,9	0		
8910VC	15,95	7,97	31,9	0		
8955VC	52,6	26,3	105,2	6910		
8956VC	110,9	55,45	221,8	0		
8967VC	31,95	15,97	63,9	0		
8968VC	17,95	8,97	35,9	44		
8969VC	16,95	8,47	33,9	0		
8970VC	12,95	6,47	25,9	3633		
8972VC	10,95	5,47	21,9	500		
8973VC	20,95	10,47	41,9	29450		
8976VC	20,95	10,47	41,9	0		
8978VC	25,95	12,97	51,9	55170		
8979VC	15,95	7,97	31,9	0		
8981VC	15,95	7,97	31,9	0		
9020VC	89,6	44,8	179,2	0		
9021VC	114,5	57,25	229	6		
9023VC	10,95	5,47	21,9	19		
9024VC	12,95	6,47	25,9	0		
9046VC	8,95	4,47	17,9	26615		
9053VC	95,8	47,9	191,6	6562		
9054VC	70,8	35,4	141,6	235		
9055VC	150,1	75,05	300,2	0		
9056VC	14,95	7,47	29,9	569		
9057VC	11,95	5,97	23,9	0		
9060VC	7,95	3,98	15,9	216		
9061VC	7,95	3,98	15,9	81		
9062VC	13,95	6,97	27,9	9		
9063VC	20,95	10,47	41,9	0		
9118VC	9,95	4,97	19,9	381		
9129VC	25,95	12,97	51,9	14095		
9141VC	11,95	5,97	23,9	0		
9192VC	20,95	10,47	41,9	0		
9194VC	20,95	10,47	41,9	0		
9205VC	20,95	10,47	41,9	0		
9210VC	121,8	60,9	243,6	0		
9211VC	131,2	65,6	262,4	0		
9212VC	85,5	42,75	171	0		
9213VC	189,5	94,75	379	20915		
9214VC	95,8	47,9	191,6	15245		
9218VC	10,95	5,47	21,9	0		
9219VC	83,3	41,65	166,6	150		
9220VC	113,3	56,65	226,6	32		
9221VC	138,3	69,15	276,6	29		
9222VC	172	86	344	6		
9225VC	12,95	6,47	25,9	0		
9227VC	197	98,5	394	8		
9228VC	242,7	121,35	485,4	0		
9238VC	31,7	15,85	63,4	0		
9239VC	100,3	50,15	200,6	0		
9240VC	213,3	106,65	426,6	253		
